gene_id,TG1,TG2,TG3,WT1,WT2,WT3
ENSMUSG00000081195|Rhox2-ps,0,0,0,0,0,0
,,,,,,
MSTRG.22554|n-R5s117,3,2,3,4,3,3
,,,,,,
ENSMUSG00000051606|2010001K21Rik,104,142,62,66,82,57
,,,,,,
ENSMUSG00000095135|Gm21858,0,0,0,0,0,0
,,,,,,
ENSMUSG00000100167|Gm28207,0,0,0,0,0,0
,,,,,,
MSTRG.15571|8030443G20Rik,0,0,0,0,0,0
,,,,,,
ENSMUSG00000080227|Gm13343,0,0,0,1,1,2
,,,,,,
ENSMUSG00000097435|Gm26783,0,3,5,0,0,0
,,,,,,
MSTRG.20241,475,1175,4031,1867,4553,1598
,,,,,,
MSTRG.20243,109,118,271,71,65,78
,,,,,,
ENSMUSG00000117940|Gm50235,0,0,0,0,0,0
,,,,,,
MSTRG.12187|Sh2d3c,2637,4161,3615,2594,3543,4183
,,,,,,
MSTRG.20247,11919,6608,3306,12754,8515,7670
,,,,,,
ENSMUSG00000116923|Gm7559,0,0,0,0,0,0
,,,,,,
MSTRG.7559|Capsl,384,65,188,400,305,131
,,,,,,
MSTRG.19452|Gm44013,0,0,0,0,0,0
,,,,,,
ENSMUSG00000054431|Olfr450,0,5,0,0,2,6
,,,,,,
MSTRG.17600|Gm15547,33,31,42,29,21,32
,,,,,,
MSTRG.4082|Arl4d,4740,2286,2123,3690,3007,2385
,,,,,,
ENSMUSG00000079395|Gm15114,0,0,0,0,0,0
,,,,,,
MSTRG.23483,25850,6850,7949,12793,8528,3992
,,,,,,
ENSMUSG00000101529|Gm29636,0,0,0,0,0,0
,,,,,,
ENSMUSG00000103308|Gm37800,0,0,4,5,8,8
,,,,,,
MSTRG.21034|Gm31749,48,44,38,48,47,55
,,,,,,
ENSMUSG00000114446|Gm33524,0,36,21,15,4,14
,,,,,,
MSTRG.5037|Entpd5,6979,8239,6574,7214,7342,7801
,,,,,,
ENSMUSG00000113001|Gm40538,0,0,0,0,0,0
,,,,,,
ENSMUSG00000088646|Gm26486,0,0,0,0,0,1
,,,,,,
ENSMUSG00000086752|Gm11674,0,3,4,0,0,0
,,,,,,
MSTRG.10023|Zfp959,1294,1993,1314,1542,1646,1990
,,,,,,
MSTRG.2748|Smarcc2,5740,6620,4697,4502,7780,16330
,,,,,,
MSTRG.10924|Atp5a1,73592,60659,22169,48903,71066,30401
,,,,,,
MSTRG.11011|Lrp5,25358,11890,17915,25481,20912,10917
,,,,,,
ENSMUSG00000030866|Ern2,0,0,0,0,0,0
,,,,,,
MSTRG.3845,435,1410,968,722,900,1129
,,,,,,
ENSMUSG00000034677|Gpr142,0,0,0,4,3,0
,,,,,,
MSTRG.21095|2610306O10Rik,185,188,158,168,194,120
,,,,,,
ENSMUSG00000065656|Gm23104,0,0,0,0,0,0
,,,,,,
MSTRG.15543|Tceanc2,6024,6159,6284,6353,5040,6406
,,,,,,
MSTRG.19470|Cmas,14530,12024,11296,13901,13634,12531
,,,,,,
ENSMUSG00000065486|Mir450-1,0,0,1,0,0,2
,,,,,,
ENSMUSG00000116483|Gm19782,0,0,0,0,0,0
,,,,,,
MSTRG.16831|Ncapg,391,610,603,459,732,606
,,,,,,
ENSMUSG00000114297|Gm30600,0,0,0,0,0,0
,,,,,,
MSTRG.14193|Jtb,5663,5348,5190,5185,5255,5818
,,,,,,
ENSMUSG00000117529|Gm49978,0,0,0,0,0,0
,,,,,,
MSTRG.24522|Msn,14632,116586,171794,159324,42478,78749
,,,,,,
MSTRG.14299|Rprd2,3925,2486,3233,3261,2884,2437
,,,,,,
MSTRG.1997|Gm47738,18,11,13,12,9,15
,,,,,,
MSTRG.6073|Mir713,0,0,2,0,0,0
,,,,,,
ENSMUSG00000094573|Snord116l13,0,0,0,0,0,0
,,,,,,
MSTRG.8157|Gm24011,30,49,27,28,22,33
,,,,,,
MSTRG.1627|Mir3962,0,0,0,1,0,0
,,,,,,
ENSMUSG00000100399|Gm28491,0,0,0,0,0,0
,,,,,,
ENSMUSG00000041144|Dnah7b,95,40,105,117,80,38
,,,,,,
ENSMUSG00000048516|Adam26a,0,0,0,0,0,0
,,,,,,
ENSMUSG00000096747|Olfr823,0,0,0,0,0,0
,,,,,,
MSTRG.13553|Mtg2,2733,1985,1562,2096,1854,1618
,,,,,,
ENSMUSG00000087909|Gm22035,0,0,4,0,0,0
,,,,,,
ENSMUSG00000100468|Tmem167-ps1,0,0,0,0,0,0
,,,,,,
ENSMUSG00000077680|Gm22495,0,0,0,0,0,0
,,,,,,
ENSMUSG00000102502|Ighv1-10,0,0,0,0,0,0
,,,,,,
MSTRG.20122|Klk11,653,128,296,651,343,120
,,,,,,
ENSMUSG00000028174|Rpe65,0,0,0,0,0,0
,,,,,,
MSTRG.11424,1655,929,1051,844,486,1344
,,,,,,
MSTRG.1613|4930570N18Rik,173,68,282,181,250,372
,,,,,,
ENSMUSG00000107259|Gm5298,10,9,23,8,0,4
,,,,,,
ENSMUSG00000115531|Gm35419,0,0,0,0,0,0
,,,,,,
MSTRG.2347|S1pr4,1341,3787,2802,1422,1780,4138
,,,,,,
ENSMUSG00000082450|Mageb7-ps,0,0,0,0,0,0
,,,,,,
ENSMUSG00000090472|Gm3047,0,0,0,3,0,0
,,,,,,
ENSMUSG00000104732|Gm43346,0,0,0,0,0,0
,,,,,,
MSTRG.11758|Gm13181,15,8,4,6,7,5
,,,,,,
ENSMUSG00000095071|AF067061,0,1,2,5,5,3
,,,,,,
ENSMUSG00000112666|Gm48485,0,6,5,6,4,3
,,,,,,
MSTRG.13422|Gm14270,159,177,190,182,473,147
,,,,,,
MSTRG.14868,8227,3283,4411,7668,6125,3277
,,,,,,
MSTRG.12239,3661,3496,6670,7290,7364,3226
,,,,,,
ENSMUSG00000116419|Gm19267,0,0,0,0,5,0
,,,,,,
MSTRG.12235,5387,10039,9802,6731,10238,10220
,,,,,,
MSTRG.12231,28438,9133,11107,19713,20817,11860
,,,,,,
MSTRG.593|AC147806.2,36,135,119,223,44,171
,,,,,,
MSTRG.593|AC147806.3,0,0,0,0,0,0
,,,,,,
ENSMUSG00000068819|Olfr1131,0,0,0,0,0,0
,,,,,,
ENSMUSG00000081491|Gm12778,25,7,22,30,22,16
,,,,,,
ENSMUSG00000106885|Eif3s6-ps4,0,0,10,6,6,0
,,,,,,
ENSMUSG00000113146|Gm47406,0,1,0,4,1,0
,,,,,,
ENSMUSG00000109556|Gm38843,0,0,0,0,0,0
,,,,,,
MSTRG.239|Gm38228,226,159,151,217,217,127
,,,,,,
ENSMUSG00000101343|Gm29469,0,0,0,0,0,0
,,,,,,
MSTRG.19544|Sinhcaf,5117,1887,3540,5629,1136,1245
,,,,,,
MSTRG.15685|Gm12857,8,0,11,9,4,11
,,,,,,
MSTRG.12752|Gm44374,0,0,0,0,0,0
,,,,,,
MSTRG.18225|St7,2384,2586,2900,2688,3044,2797
,,,,,,
ENSMUSG00000094717|Gm22821,0,0,0,0,0,0
,,,,,,
ENSMUSG00000113215|Gm18749,0,0,0,0,0,0
,,,,,,
ENSMUSG00000060256|Tdpoz4,1,0,0,0,0,1
,,,,,,
ENSMUSG00000103842|Gm37808,0,0,0,0,0,0
,,,,,,
ENSMUSG00000116651|Gm17844,0,0,0,0,0,0
,,,,,,
ENSMUSG00000113397|Gm9194,0,0,0,2,0,0
,,,,,,
ENSMUSG00000093627|Vmn2r-ps121,0,0,0,0,0,0
,,,,,,
MSTRG.10037|Lrg1,1866,1807,2360,2644,2248,2235
,,,,,,
ENSMUSG00000081774|Gm13866,3,0,1,12,0,0
,,,,,,
ENSMUSG00000110879|Olfr1010,0,0,0,0,0,0
,,,,,,
ENSMUSG00000116956|Gm49610,0,0,0,0,0,0
,,,,,,
MSTRG.17003|Gm42670,64,114,96,136,129,132
,,,,,,
ENSMUSG00000081955|Olfr999-ps1,0,0,0,0,0,0
,,,,,,
ENSMUSG00000051827|Rhox2a,0,0,0,0,0,0
,,,,,,
MSTRG.10480,7210,4393,6468,5974,7577,6871
,,,,,,
MSTRG.8796|Gm10237,13,14,16,15,19,14
,,,,,,
ENSMUSG00000105687|Gm6157,75,64,41,69,67,36
,,,,,,
MSTRG.13075|Gm26165,51,117,64,80,98,55
,,,,,,
MSTRG.13325|Ccn5,2788,716,2420,4500,2470,1043
,,,,,,
ENSMUSG00000026315|Serpinb8,402,605,618,629,896,485
,,,,,,
MSTRG.10482,8467,10690,19902,7668,16745,12934
,,,,,,
ENSMUSG00000081395|Gm14879,0,0,0,0,0,0
,,,,,,
ENSMUSG00000107520|Gm3726,0,0,0,0,0,0
,,,,,,
ENSMUSG00000073917|Olfr665,0,0,0,0,0,0
,,,,,,
MSTRG.22342|Exosc6,1,1,1,1,1,1
,,,,,,
ENSMUSG00000110858|Gm18160,0,0,0,0,0,0
,,,,,,
MSTRG.10452|Taf4b,4524,4646,4465,3665,4549,5141
,,,,,,
ENSMUSG00000115885|Gm19811,0,0,0,0,0,0
,,,,,,
ENSMUSG00000109217|Gm44676,4,0,0,0,0,0
,,,,,,
ENSMUSG00000095239|Olfr497,0,0,0,0,0,0
,,,,,,
MSTRG.17245|Gm17092,186,163,143,209,237,133
,,,,,,
ENSMUSG00000095768|Vmn1r111,0,0,0,0,0,0
,,,,,,
ENSMUSG00000065673|Gm24258,2,2,4,1,2,1
,,,,,,
ENSMUSG00000110098|Gm45401,0,0,0,0,0,0
,,,,,,
MSTRG.3761,3452,1260,2258,3101,1333,2833
,,,,,,
MSTRG.3760,20994,15320,16318,14504,18822,15955
,,,,,,
ENSMUSG00000104360|Gm8762,5,5,5,0,3,3
,,,,,,
ENSMUSG00000068457|Uty,1,1,1,1,1,1
,,,,,,
MSTRG.4702|Gm47374,5,0,0,0,0,0
,,,,,,
ENSMUSG00000040016|Ptger3,446,728,812,733,1024,719
,,,,,,
ENSMUSG00000087600|Pmepa1os,0,4,5,0,5,3
,,,,,,
ENSMUSG00000111646|Gm40621,5,0,0,7,0,0
,,,,,,
MSTRG.9388|Flywch2,316,109,182,335,194,157
,,,,,,
MSTRG.12879|B2m,323945,596104,572751,469856,566670,556234
,,,,,,
MSTRG.12274|Strbp,13473,10285,8571,11244,8985,9974
,,,,,,
ENSMUSG00000070551|Mrgprb5,0,0,0,0,0,0
,,,,,,
MSTRG.3743|Ccl5,15690,28129,33948,24059,28142,27077
,,,,,,
ENSMUSG00000113975|Gm36372,0,0,0,0,0,0
,,,,,,
MSTRG.22482,492,677,674,687,592,646
,,,,,,
MSTRG.22485,8430,8686,8515,6230,8067,7667
,,,,,,
MSTRG.22486,796,1869,1216,649,754,1019
,,,,,,
MSTRG.22487,11912,10618,14339,9041,10984,8600
,,,,,,
MSTRG.10381|Gm50027,4,3,4,9,8,6
,,,,,,
ENSMUSG00000110572|Olfr852-ps1,0,0,0,0,0,0
,,,,,,
ENSMUSG00000113815|Gm48149,0,0,0,0,0,0
,,,,,,
ENSMUSG00000094136|Gm5973,0,8,2,7,2,7
,,,,,,
ENSMUSG00000088852|Gm24731,0,0,0,0,0,0
,,,,,,
MSTRG.10920|8030462N17Rik,3778,3111,3139,3304,3597,3318
,,,,,,
ENSMUSG00000118335|Gm18936,0,0,0,0,0,0
,,,,,,
ENSMUSG00000054418|2900041M22Rik,14,17,13,18,8,18
,,,,,,
MSTRG.20176|Fcgrt,3786,4338,5803,5368,7110,5158
,,,,,,
ENSMUSG00000083449|Gm13487,23,29,14,21,16,27
,,,,,,
ENSMUSG00000042448|Hoxd1,8,3,7,11,0,11
,,,,,,
MSTRG.19684|Rps8-ps4,386,350,333,339,362,339
,,,,,,
ENSMUSG00000105943|Gm2965,0,2,0,3,0,2
,,,,,,
MSTRG.668|Hjurp,12789,13142,13526,16275,12792,11205
,,,,,,
ENSMUSG00000109938|Gm6009,3,0,0,0,0,0
,,,,,,
MSTRG.12789|Bahd1,10544,11239,13434,13094,9550,8951
,,,,,,
MSTRG.23172|Dnaja4,12246,9909,9098,13309,12445,7480
,,,,,,
ENSMUSG00000085638|Gm15521,0,0,0,0,0,0
,,,,,,
ENSMUSG00000100474|Gm29614,0,0,0,0,0,0
,,,,,,
MSTRG.19424|Gm22881,1,2,0,2,2,0
,,,,,,
ENSMUSG00000115887|Gm49471,3,0,0,3,0,0
,,,,,,
MSTRG.10735|Gm31706,0,0,0,0,0,0
,,,,,,
ENSMUSG00000082303|Gm13633,0,0,0,0,0,0
,,,,,,
ENSMUSG00000105961|Gm40123,23,4,18,18,24,11
,,,,,,
MSTRG.23792|Gm24259,4,2,1,3,1,0
,,,,,,
ENSMUSG00000058153|Sez6l,80,96,120,69,147,119
,,,,,,
ENSMUSG00000026180|Cxcr2,67,279,97,149,86,172
,,,,,,
ENSMUSG00000075006|Gm10799,0,1,0,0,0,0
,,,,,,
ENSMUSG00000101069|Gm28194,0,0,0,0,0,0
,,,,,,
MSTRG.18798|Gm38320,10,0,2,5,2,3
,,,,,,
ENSMUSG00000115993|Zfp42-ps1,0,0,0,0,0,0
,,,,,,
ENSMUSG00000110006|Gm45490,0,0,0,0,0,0
,,,,,,
MSTRG.1999|Asf1a,6173,5127,4742,5042,5194,5308
,,,,,,
MSTRG.20026|Gm10640,53,56,35,43,49,60
,,,,,,
ENSMUSG00000101550|Gm29385,0,0,0,0,0,0
,,,,,,
MSTRG.862,5994,866,2038,1592,678,2024
,,,,,,
ENSMUSG00000108295|Gm36406,0,0,0,0,0,0
,,,,,,
ENSMUSG00000113367|Gm47125,6,2,3,0,2,5
,,,,,,
ENSMUSG00000099915|Gm21191,0,0,0,0,0,0
,,,,,,
MSTRG.14911,125,79,97,143,133,111
,,,,,,
MSTRG.1136|Axdnd1,359,524,441,593,557,332
,,,,,,
ENSMUSG00000091080|Prr23a1,0,0,0,0,0,0
,,,,,,
MSTRG.23281,53,118,51,54,61,109
,,,,,,
MSTRG.1249|Gm20743,16,37,15,6,16,25
,,,,,,
ENSMUSG00000101160|Gm29338,0,0,0,0,0,0
,,,,,,
ENSMUSG00000085772|D630024D03Rik,0,0,0,0,0,3
,,,,,,
MSTRG.18259|Pot1a,2623,3207,2767,2646,2901,3154
,,,,,,
ENSMUSG00000117029|Gm36201,6,0,0,0,0,0
,,,,,,
MSTRG.21859|Ccdc194,2,1,22,6,0,2
,,,,,,
MSTRG.24608|Gm26415,0,0,0,0,2,2
,,,,,,
MSTRG.12965|Il1a,324,566,446,301,308,643
,,,,,,
ENSMUSG00000102131|Gm21160,0,0,0,0,0,0
,,,,,,
ENSMUSG00000081835|Gm11790,13,2,5,11,3,3
,,,,,,
ENSMUSG00000080807|Gm13117,0,0,0,0,1,0
,,,,,,
ENSMUSG00000099242|Obox4-ps3,0,0,2,0,2,0
,,,,,,
ENSMUSG00000116127|Gm8375,5,13,8,9,7,7
,,,,,,
ENSMUSG00000094370|Gm3373,46,44,43,39,40,45
,,,,,,
MSTRG.4236,1011,1504,2278,812,415,1420
,,,,,,
MSTRG.4237,71,101,116,108,154,124
,,,,,,
MSTRG.4230,27983,18528,9390,27732,38694,19982
,,,,,,
ENSMUSG00000113169|Gm6171,0,0,0,0,0,0
,,,,,,
MSTRG.4233,7273,9754,6026,8256,6476,8346
,,,,,,
MSTRG.19588|Leng1,1092,1551,1134,963,1285,1326
,,,,,,
MSTRG.552|Col4a4,308,305,294,371,324,244
,,,,,,
MSTRG.4239,2788,1847,1769,2068,2771,741
,,,,,,
ENSMUSG00000088279|Gm23120,0,0,0,0,0,0
,,,,,,
MSTRG.2968,9551,8202,7348,9470,10446,7562
,,,,,,
ENSMUSG00000106378|Gm42945,0,0,0,0,0,0
,,,,,,
MSTRG.2967,3772,4920,2011,3732,7031,7993
,,,,,,
MSTRG.2964,54491,39856,39006,47255,39535,40855
,,,,,,
MSTRG.2965,4676,4825,4368,4563,6436,3923
,,,,,,
MSTRG.18349|Agbl3,779,890,685,843,734,642
,,,,,,
MSTRG.3964|Med1,11661,13934,13492,7727,14615,8811
,,,,,,
MSTRG.2960,123,102,128,95,86,111
,,,,,,
MSTRG.3810|Supt4a,6966,7891,6454,7071,6993,7479
,,,,,,
MSTRG.23757,4496,1788,2796,4550,3336,2201
,,,,,,
MSTRG.11461|Gm27818,0,2,3,0,1,2
,,,,,,
MSTRG.23072|Fxyd6,6150,1823,3409,5813,4180,2026
,,,,,,
ENSMUSG00000099981|Gm21136,0,0,0,0,0,0
,,,,,,
ENSMUSG00000089293|Gm23210,0,0,0,0,0,0
,,,,,,
MSTRG.10189|Gm25406,2,2,5,1,3,1
,,,,,,
MSTRG.1955|Qrsl1,1480,1825,1847,1625,1533,1943
,,,,,,
ENSMUSG00000116924|4933401D09Rik,0,0,0,0,5,5
,,,,,,
MSTRG.4905|Gm47690,58,30,29,70,64,32
,,,,,,
MSTRG.9583|Gm36199,23,0,7,13,13,0
,,,,,,
MSTRG.15300,15158,9017,17781,17629,20762,14143
,,,,,,
MSTRG.24840|Tceanc,1863,1512,1534,1593,1360,1565
,,,,,,
MSTRG.12532|Pde1a,8,6,20,16,26,4
,,,,,,
ENSMUSG00000112487|Gm18873,0,0,0,0,0,0
,,,,,,
ENSMUSG00000083972|Gm14802,0,0,0,0,0,0
,,,,,,
ENSMUSG00000088017|Gm23829,0,0,0,0,0,0
,,,,,,
MSTRG.19154,364,376,278,380,354,289
,,,,,,
MSTRG.777|Tnfrsf11a,1302,1891,1583,1588,1523,1483
,,,,,,
MSTRG.24763|Gm15267,304,306,143,90,249,124
,,,,,,
MSTRG.2856|Pold2,5570,4424,5052,4622,4714,4812
,,,,,,
MSTRG.16636|Atraid,3328,2899,3754,3302,3431,3361
,,,,,,
ENSMUSG00000075573|Defb47,0,8,6,3,2,6
,,,,,,
MSTRG.22925|Pate1,3,3,0,0,0,0
,,,,,,
ENSMUSG00000030351|Tspan11,74,157,138,117,268,170
,,,,,,
ENSMUSG00000101190|Gm28274,0,0,0,0,0,0
,,,,,,
ENSMUSG00000111788|Gm8948,0,0,0,0,0,0
,,,,,,
ENSMUSG00000076234|Gm22757,0,0,0,0,0,0
,,,,,,
MSTRG.19379|1700101I11Rik,315,369,298,601,374,435
,,,,,,
ENSMUSG00000116857|Gm49582,0,0,0,0,0,0
,,,,,,
ENSMUSG00000113084|A030003K21Rik,4,3,0,2,4,6
,,,,,,
ENSMUSG00000101575|Gm20898,0,0,0,0,0,0
,,,,,,
MSTRG.4300|Fbf1,4061,1954,3019,3074,3039,2596
,,,,,,
MSTRG.10680|Rbm27,13601,15482,13637,12747,16539,18340
,,,,,,
ENSMUSG00000101116|Gm28416,0,0,0,0,0,0
,,,,,,
ENSMUSG00000062309|Rpp25,48,86,76,93,84,31
,,,,,,
MSTRG.17544|2410131K14Rik,10128,10989,11115,9112,12731,9862
,,,,,,
ENSMUSG00000067106|Gm5529,120,147,200,131,171,167
,,,,,,
ENSMUSG00000084889|Gm12148,0,0,0,0,0,2
,,,,,,
MSTRG.5081|Ttll5,2476,1905,2169,2416,2340,1801
,,,,,,
MSTRG.20884|Arl6ip1,30488,32578,30001,29762,29336,32455
,,,,,,
ENSMUSG00000111958|Gm47844,0,0,0,0,0,0
,,,,,,
ENSMUSG00000118040|Gm36602,23,51,32,22,20,21
,,,,,,
MSTRG.13447|Ankrd60,10,12,10,0,12,4
,,,,,,
ENSMUSG00000026609|Ush2a,4,12,18,7,7,2
,,,,,,
ENSMUSG00000105476|Gm35439,17,0,3,9,5,4
,,,,,,
MSTRG.3949|Atp5l2-ps,153,144,118,134,141,133
,,,,,,
MSTRG.17391|Gm26277,0,0,0,0,0,0
,,,,,,
ENSMUSG00000083735|Gm12495,0,0,0,0,0,0
,,,,,,
ENSMUSG00000081784|Gm13281,0,0,0,5,0,0
,,,,,,
ENSMUSG00000096061|Gm23681,1,0,1,0,1,2
,,,,,,
MSTRG.22201|Cmtm4,24969,8130,11144,17875,13213,7494
,,,,,,
ENSMUSG00000113986|Gm31333,4,3,33,0,0,6
,,,,,,
MSTRG.6746|Gm49616,9,23,1,6,9,12
,,,,,,
ENSMUSG00000080411|Mir1193,0,0,1,0,0,0
,,,,,,
ENSMUSG00000094854|Gm5334,0,0,0,0,0,0
,,,,,,
ENSMUSG00000110847|Gm18705,0,0,0,0,0,6
,,,,,,
MSTRG.7097|Gm8894,121,117,94,127,127,114
,,,,,,
ENSMUSG00000094695|Gm21953,8,13,9,18,16,10
,,,,,,
ENSMUSG00000092520|Gm3611,0,0,0,0,0,0
,,,,,,
MSTRG.2781|Gm11945,3,0,8,0,3,8
,,,,,,
MSTRG.13319|Hnf4aos,24,0,0,11,4,0
,,,,,,
MSTRG.191|4930439A04Rik,2,0,2,0,0,2
,,,,,,
MSTRG.17822|Gtf2ird2,771,1072,1198,923,1063,1072
,,,,,,
MSTRG.6495|Gm48876,15,54,34,20,15,67
,,,,,,
MSTRG.14316|H3c15,403,257,229,403,323,233
,,,,,,
MSTRG.11427,1275,3054,1808,1360,1225,2035
,,,,,,
MSTRG.10498|Gm25845,0,0,0,0,0,0
,,,,,,
MSTRG.11727|4933412A08Rik,23,9,12,12,7,19
,,,,,,
MSTRG.1732|Phactr2,1851,2925,340,2460,1733,347
,,,,,,
MSTRG.4992|Gm4787,73,94,29,47,74,55
,,,,,,
MSTRG.18500,8391,4774,2112,5992,2790,4917
,,,,,,
MSTRG.18502,8099,5170,2038,5170,7077,2564
,,,,,,
MSTRG.18503,0,319,0,0,0,0
,,,,,,
MSTRG.18504,1345,1113,1017,1292,1071,988
,,,,,,
MSTRG.8744|Pcyt1a,13839,15984,15769,13971,18258,15537
,,,,,,
ENSMUSG00000103396|Gm38305,0,0,0,0,0,0
,,,,,,
MSTRG.14615|6530403H02Rik,0,2,0,0,0,0
,,,,,,
ENSMUSG00000109076|Gm45145,0,0,0,0,0,0
,,,,,,
MSTRG.4435|Fn3krp,927,860,987,964,1073,864
,,,,,,
ENSMUSG00000106210|1700001N15Rik,0,0,0,0,0,0
,,,,,,
ENSMUSG00000076337|Gm24714,0,0,0,0,2,0
,,,,,,
ENSMUSG00000104226|Gm7470,0,0,0,0,0,0
,,,,,,
ENSMUSG00000081435|Gm11403,0,0,0,0,2,0
,,,,,,
MSTRG.9538|Gm49802,0,3,0,4,3,0
,,,,,,
ENSMUSG00000088454|Gm26371,0,0,0,0,2,0
,,,,,,
MSTRG.24556|Pin4,2367,2364,2287,2496,2537,2417
,,,,,,
MSTRG.6954|Otx2os1,0,0,0,1,0,0
,,,,,,
MSTRG.10344|Gm10557,2759,2779,2558,2626,2749,2299
,,,,,,
ENSMUSG00000118231|Gm2141,0,0,0,0,0,0
,,,,,,
MSTRG.1194|Tnfsf4,3138,1584,1900,2052,2067,2005
,,,,,,
ENSMUSG00000005864|Cnga2,10,23,17,16,23,25
,,,,,,
MSTRG.13622,4034,4465,4389,4853,5035,4200
,,,,,,
ENSMUSG00000113177|Gm7214,0,0,0,0,2,0
,,,,,,
MSTRG.2893|Gm11999,3,7,2,1,5,0
,,,,,,
MSTRG.23430|Rab27a,1566,3461,1911,1522,1904,3168
,,,,,,
ENSMUSG00000054169|Ceacam10,21,8,0,11,17,2
,,,,,,
ENSMUSG00000117799|Gm50295,14,5,8,0,0,0
,,,,,,
ENSMUSG00000088194|Gm23900,0,0,0,0,0,0
,,,,,,
ENSMUSG00000101005|Gm20871,0,0,0,0,0,0
,,,,,,
ENSMUSG00000103111|Ighv6-1,0,0,0,0,0,0
,,,,,,
MSTRG.1314,4890,1545,2334,4362,2738,1757
,,,,,,
MSTRG.23704|Gm22720,4,5,2,3,10,5
,,,,,,
MSTRG.1316,8941,3477,4375,6887,5113,3299
,,,,,,
MSTRG.1317,850,5371,9960,6655,5230,6100
,,,,,,
ENSMUSG00000042115|Klhdc8a,8,16,19,17,21,18
,,,,,,
MSTRG.14169,10605,11034,15494,12463,12892,11170
,,,,,,
MSTRG.14166,13426,8274,8751,12308,11679,8264
,,,,,,
MSTRG.14884|Rpl29-ps1,2,0,0,2,0,0
,,,,,,
MSTRG.14162,2508,1845,4060,3511,968,3848
,,,,,,
MSTRG.22945|Gm47347,3,2,6,4,1,5
,,,,,,
ENSMUSG00000094576|AC087559.3,8,11,11,8,17,9
,,,,,,
MSTRG.6552|Gm41077,262,252,236,209,311,244
,,,,,,
MSTRG.23934|Gm47043,10,16,15,10,2,0
,,,,,,
ENSMUSG00000114388|Gm48510,0,0,0,0,9,0
,,,,,,
ENSMUSG00000029671|Wnt16,24,46,26,24,38,35
,,,,,,
MSTRG.19769|Bcam,8494,2067,4119,8220,4596,2472
,,,,,,
ENSMUSG00000103250|Gm32180,0,0,0,0,0,0
,,,,,,
ENSMUSG00000061845|Defa35,0,0,0,0,0,0
,,,,,,
ENSMUSG00000055942|Obox7,0,0,0,0,0,0
,,,,,,
ENSMUSG00000097040|2610316D01Rik,5,0,4,6,5,0
,,,,,,
MSTRG.2415|Rtcb,35939,31754,32243,32859,30673,31228
,,,,,,
MSTRG.20235|Gm22969,7,2,3,5,4,3
,,,,,,
MSTRG.2017|Gm19256,0,0,0,0,0,0
,,,,,,
MSTRG.16415|Gm43728,3,5,7,7,2,6
,,,,,,
MSTRG.5142|9430031K09Rik,20,9,10,17,11,6
,,,,,,
MSTRG.5558|Gm2423,2096,1678,2884,3235,3451,2953
,,,,,,
ENSMUSG00000072477|Gm10360,0,2,0,0,0,0
,,,,,,
MSTRG.4349|Gm24060,1,2,1,1,3,1
,,,,,,
ENSMUSG00000114809|Atp5c1-ps,0,0,0,0,0,0
,,,,,,
ENSMUSG00000080820|Gm13197,0,0,0,0,0,2
,,,,,,
ENSMUSG00000098779|Gm8602,2,2,3,2,0,0
,,,,,,
MSTRG.20846|2310014F06Rik,47,35,27,64,55,26
,,,,,,
MSTRG.14814|Gm43162,57,121,44,79,83,66
,,,,,,
ENSMUSG00000067064|Olfr1416,0,0,0,0,5,0
,,,,,,
MSTRG.20964|4930413G21Rik,269,373,271,358,378,327
,,,,,,
ENSMUSG00000102701|9430083B18Rik,0,3,0,0,0,0
,,,,,,
MSTRG.18598|Nt5c3,5767,10385,9375,5815,8340,10286
,,,,,,
ENSMUSG00000085357|Gm13480,0,0,0,0,0,0
,,,,,,
ENSMUSG00000107911|Gm7565,43,21,15,48,22,37
,,,,,,
ENSMUSG00000079494|Nat8f5,10,0,3,19,5,0
,,,,,,
MSTRG.7100|Ap1g2,5074,7107,6668,5277,5853,7552
,,,,,,
ENSMUSG00000044086|Lmod3,18,21,12,9,14,14
,,,,,,
MSTRG.12664|Gm10801,12,54,30,14,37,12
,,,,,,
MSTRG.16051|Gm13012,268,753,539,323,362,739
,,,,,,
ENSMUSG00000072460|Atp5l-ps1,34,44,41,39,50,46
,,,,,,
MSTRG.21225|Adam8,10882,8857,9341,8086,9512,8897
,,,,,,
MSTRG.21000|Cln3,4833,3868,4048,4893,4397,3579
,,,,,,
ENSMUSG00000101943|Gm28532,0,0,0,0,0,0
,,,,,,
MSTRG.17905,1333,513,619,161,1876,3861
,,,,,,
MSTRG.24207|Gm14884,3,3,4,0,0,0
,,,,,,
MSTRG.12578,1315,1173,944,1802,1644,1843
,,,,,,
MSTRG.9694|Gm4152,5,1,1,1,9,27
,,,,,,
ENSMUSG00000016524|Il19,47,70,103,64,66,67
,,,,,,
ENSMUSG00000086109|Gm13391,49,45,50,50,44,44
,,,,,,
MSTRG.12573,258,253,242,296,248,270
,,,,,,
MSTRG.2971,4782,4599,4869,4603,3705,4120
,,,,,,
MSTRG.24286|Zdhhc9,6488,6065,6554,6559,6897,5524
,,,,,,
MSTRG.22697|Arhgap42,4236,86,4315,5543,3011,89
,,,,,,
ENSMUSG00000064554|n-R5s173,2,0,0,1,0,0
,,,,,,
MSTRG.12575,20897,14290,17877,16749,14852,20664
,,,,,,
MSTRG.12574,580,539,523,640,524,536
,,,,,,
